CalfID,SingleTwinST,CrossbredYN,Time,IgG,SexMF,BirthWtLbs,CalfSizeLgSm,D0Fed2TxGrp,Result0hrgL
47,S,Y,24hr,42.63,F,110.2,LG,CST,0
48,S,N,8hr,34.23,M,102.2,LG,MCB,0
48,S,N,24hr,48.26,M,102.2,LG,MCB,0
49,S,Y,8hr,23.94,F,83.2,LG,MRB,0
49,S,Y,24hr,31.28,F,83.2,LG,MRB,0
50,S,Y,8hr,26.6,M,91.2,LG,CST,0
50,S,Y,24hr,45.97,M,91.2,LG,CST,0
51,S,Y,8hr,27.52,M,98.4,LG,MRB,0
51,S,Y,24hr,42.63,M,98.4,LG,MRB,0
52,S,Y,8hr,29.38,M,92.8,LG,MCB,0
52,S,Y,24hr,40.58,M,92.8,LG,MCB,0
53,S,Y,8hr,36.26,M,111.4,LG,CSB,0
53,S,Y,24hr,41.54,M,111.4,LG,CSB,0
54,S,Y,8hr,36.26,M,81.5,LG,MCT,0
54,S,Y,24hr,47.11,M,81.5,LG,MCT,0
55,S,Y,8hr,37.29,F,72.6,SM,MCT,0
55,S,Y,24hr,50.6,F,72.6,SM,MCT,0
56,S,Y,8hr,23.94,F,93.4,LG,CST,0
56,S,Y,24hr,52.98,F,93.4,LG,CST,0
57,S,Y,8hr,29.38,M,60.2,SM,MCB,0
57,S,Y,24hr,42.29,M,60.2,SM,MCB,0
58,S,Y,8hr,40.46,M,105.2,LG,MRB,0
58,S,Y,24hr,39.11,M,105.2,LG,MRB,0
59,S,Y,8hr,26.55,M,90.4,LG,CST,0
59,S,Y,24hr,35.98,M,90.4,LG,CST,0
60,S,Y,8hr,42.29,F,78.2,SM,MRB,0
60,S,Y,24hr,43.28,F,78.2,SM,MRB,0
61,S,Y,8hr,46.69,F,98.4,LG,MCT,0
61,S,Y,24hr,35.98,F,98.4,LG,MCT,0
62,S,Y,8hr,23.94,M,64.4,SM,MCT,0
62,S,Y,24hr,42.8,M,64.4,SM,MCT,0
63,T,Y,8hr,33.07,F,74.6,SM,MCB,0
63,T,Y,24hr,42.8,F,74.6,SM,MCB,0
64,S,Y,8hr,36.03,F,94.4,LG,MRB,0
64,S,Y,24hr,28.31,F,94.4,LG,MRB,0
65,S,Y,8hr,35.03,F,81.8,LG,CST,0
65,S,Y,24hr,43.93,F,81.8,LG,CST,0
66,S,N,8hr,39.11,M,93.6,LG,CSB,0
66,S,N,24hr,41.35,M,93.6,LG,CSB,0
67,S,Y,8hr,40.15,M,92.4,LG,MCT,0
67,S,Y,24hr,42.44,M,92.4,LG,MCT,0
